lat,lon,id,distance,altitude,hr,cadence,time,rawTime
56.434599,12.838058,3092741860,0.8,12.3,88,59,2020-02-12 06:19:59+00:00,0
56.434604,12.83807,3092741860,1.8,12.3,88,59,2020-02-12 06:20:00+00:00,1
56.434625,12.838106,3092741860,5.0,12.1,87,59,2020-02-12 06:20:03+00:00,4
56.434717,12.838408,3092741860,26.5,11.0,87,82,2020-02-12 06:20:10+00:00,11
56.434718,12.838463,3092741860,29.9,10.8,91,82,2020-02-12 06:20:11+00:00,12
56.43472,12.838515,3092741860,33.2,10.6,94,83,2020-02-12 06:20:12+00:00,13
56.434718,12.838568,3092741860,36.4,10.4,99,83,2020-02-12 06:20:13+00:00,14
56.43471,12.838619,3092741860,39.7,10.3,104,82,2020-02-12 06:20:14+00:00,15
56.434683,12.83882,3092741860,52.4,9.7,110,81,2020-02-12 06:20:18+00:00,19
56.434662,12.838926,3092741860,59.3,9.5,114,81,2020-02-12 06:20:20+00:00,21
56.434653,12.838981,3092741860,62.8,9.3,120,81,2020-02-12 06:20:21+00:00,22
56.434646,12.839037,3092741860,66.3,9.2,120,82,2020-02-12 06:20:22+00:00,23
56.43464,12.839086,3092741860,69.4,9.1,124,82,2020-02-12 06:20:23+00:00,24
56.434636,12.839134,3092741860,72.4,8.9,128,82,2020-02-12 06:20:24+00:00,25
56.434641,12.839182,3092741860,75.4,8.8,131,82,2020-02-12 06:20:25+00:00,26
56.434664,12.839286,3092741860,82.2,8.1,136,81,2020-02-12 06:20:27+00:00,28
56.434677,12.839335,3092741860,85.6,7.9,136,81,2020-02-12 06:20:28+00:00,29
56.43474,12.839509,3092741860,98.4,7.1,140,83,2020-02-12 06:20:32+00:00,33
56.434777,12.839637,3092741860,107.3,6.5,136,83,2020-02-12 06:20:35+00:00,36
56.43479,12.839677,3092741860,110.2,6.3,133,83,2020-02-12 06:20:36+00:00,37
56.434805,12.839767,3092741860,115.9,6.0,129,83,2020-02-12 06:20:38+00:00,39
56.434812,12.839814,3092741860,118.9,5.7,125,83,2020-02-12 06:20:39+00:00,40
56.434821,12.839862,3092741860,122.0,5.6,125,84,2020-02-12 06:20:40+00:00,41
56.434847,12.84001,3092741860,131.6,5.3,130,84,2020-02-12 06:20:43+00:00,44
56.434906,12.840248,3092741860,147.7,4.8,133,84,2020-02-12 06:20:48+00:00,49
56.434958,12.840433,3092741860,160.5,4.3,136,85,2020-02-12 06:20:52+00:00,53
56.43499,12.840529,3092741860,167.4,4.0,133,84,2020-02-12 06:20:54+00:00,55
56.435019,12.840639,3092741860,174.9,4.0,138,84,2020-02-12 06:20:56+00:00,57
56.435042,12.840971,3092741860,195.6,3.7,131,85,2020-02-12 06:21:02+00:00,63
56.435045,12.841025,3092741860,198.9,3.6,126,85,2020-02-12 06:21:03+00:00,64
56.43505,12.841131,3092741860,205.5,3.5,120,86,2020-02-12 06:21:05+00:00,66
56.435055,12.841187,3092741860,209.0,3.4,124,86,2020-02-12 06:21:06+00:00,67
56.435067,12.841294,3092741860,215.7,3.3,128,85,2020-02-12 06:21:08+00:00,69
56.435073,12.841348,3092741860,219.1,3.2,132,85,2020-02-12 06:21:09+00:00,70
56.43509,12.841509,3092741860,229.2,3.0,135,85,2020-02-12 06:21:12+00:00,73
56.435106,12.841841,3092741860,249.8,2.7,136,86,2020-02-12 06:21:18+00:00,79
56.435081,12.842153,3092741860,270.0,2.3,133,84,2020-02-12 06:21:24+00:00,85
56.434884,12.842197,3092741860,292.7,2.4,134,86,2020-02-12 06:21:30+00:00,91
56.434682,12.842139,3092741860,315.4,2.7,136,86,2020-02-12 06:21:36+00:00,97
56.434489,12.842063,3092741860,337.5,3.0,137,87,2020-02-12 06:21:42+00:00,103
